"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Vmax_buildSrxn1.1." "Km.1." "hill.1." "LnPrior" "LnData" "LnPosterior"
"208" 490207 0.0210258 0.0292646 132301 102843 1.02497 -20.04451 -1362.998 -1383.042
"209" 490208 0.0210187 0.0291582 132301 102843 1.02497 -20.03058 -1362.587 -1382.618
"210" 490209 0.0210187 0.0291582 132331 102843 1.02497 -20.08461 -1362.509 -1382.594
"211" 490210 0.0210187 0.0290598 132331 102843 1.02497 -20.07171 -1362.705 -1382.777
"212" 490211 0.0210187 0.0290598 132486 102843 1.02521 -20.3639 -1362.37 -1382.734
"213" 490212 0.0210187 0.029081 132553 102843 1.02521 -20.5022 -1362.206 -1382.708
"214" 490213 0.0210187 0.029081 132553 102843 1.02512 -20.5022 -1362.243 -1382.745
"215" 490214 0.0210187 0.0292372 132947 102843 1.02526 -21.4024 -1361.369 -1382.771
"216" 490215 0.0210187 0.0292372 132947 102843 1.02526 -21.4024 -1361.369 -1382.771
"217" 490216 0.0210187 0.0294144 132947 102843 1.02479 -21.42602 -1361.982 -1383.408
"218" 490217 0.0210187 0.0292807 133312 102843 1.02486 -22.36154 -1364.797 -1387.159
"219" 490218 0.0210187 0.0293022 133312 103406 1.02477 -20.16617 -1362.196 -1382.362
"220" 490219 0.0210187 0.0293022 133312 103406 1.02477 -20.16617 -1362.196 -1382.362
"221" 490220 0.0210187 0.0293022 133312 103406 1.02477 -20.16617 -1362.196 -1382.362
"222" 490221 0.0210187 0.029372 132985 103406 1.02451 -19.31529 -1362.603 -1381.918
"223" 490222 0.0210187 0.0294297 133111 103452 1.02451 -19.47495 -1362.455 -1381.93
"224" 490223 0.0210187 0.0294297 133111 103561 1.02445 -19.09017 -1362.676 -1381.766
"225" 490224 0.0210187 0.0294297 132841 103561 1.02445 -18.42641 -1363.489 -1381.916
"226" 490225 0.0210187 0.0291309 132315 103265 1.0245 -18.37454 -1363.575 -1381.949
"227" 490226 0.0210187 0.0291309 132315 103788 1.0245 -16.54282 -1366.595 -1383.137
"228" 490227 0.0210179 0.0291309 132315 103827 1.02437 -16.41717 -1365.852 -1382.269
"229" 490228 0.0210179 0.0288844 132337 103827 1.02467 -16.42421 -1366.048 -1382.473
"230" 490229 0.0210179 0.0288844 133263 103827 1.02519 -18.53859 -1363.828 -1382.366
"231" 490230 0.0210179 0.0288844 133263 103827 1.02519 -18.53859 -1363.828 -1382.366
"232" 490231 0.0210179 0.0290213 133263 103827 1.02519 -18.55632 -1364.55 -1383.107
"233" 490232 0.0210179 0.0288595 133279 103827 1.0249 -18.5813 -1364.033 -1382.614
"234" 490233 0.0210179 0.0288595 133169 103897 1.0249 -18.05745 -1364 -1382.057
"235" 490234 0.0210019 0.0288595 133109 103900 1.0249 -17.89467 -1363.977 -1381.872
"236" 490235 0.0210019 0.0288606 133287 104327 1.0249 -17.12453 -1365.46 -1382.585
"237" 490236 0.0210019 0.0288606 133287 104327 1.02451 -17.12453 -1364.846 -1381.97
"238" 490237 0.0210019 0.0288033 133287 104769 1.02451 -16.01896 -1366.252 -1382.271
"239" 490238 0.0210019 0.0288033 133287 104769 1.02449 -16.01896 -1366.164 -1382.183
"240" 490239 0.0210019 0.0289174 133997 104769 1.02449 -18.25323 -1364.602 -1382.855
"241" 490240 0.0211892 0.0289572 133869 104769 1.02407 -17.81937 -1368.288 -1386.107
"242" 490241 0.021235 0.0289572 133869 105801 1.024 -16.01502 -1370.064 -1386.079
"243" 490242 0.021235 0.0287338 133445 105801 1.02425 -14.6533 -1374.303 -1388.956
"244" 490243 0.021235 0.0286784 133422 105801 1.02425 -14.58053 -1373.723 -1388.304
"245" 490244 0.021263 0.0283704 133261 105801 1.02425 -14.08486 -1372.634 -1386.718
"246" 490245 0.0212661 0.0283704 133426 105801 1.02425 -14.55186 -1371.797 -1386.349
"247" 490246 0.0212661 0.0283622 133806 106079 1.02433 -15.42585 -1372.046 -1387.472
"248" 490247 0.0210842 0.0282541 134054 106242 1.02433 -16.11797 -1370.857 -1386.975
"249" 490248 0.0210885 0.0282572 134221 106188 1.02433 -16.76879 -1370.546 -1387.314
"250" 490249 0.0210885 0.0282572 134221 106048 1.02433 -16.89667 -1370.719 -1387.615
"251" 490250 0.0211682 0.0284572 134139 106048 1.02433 -16.6202 -1369.805 -1386.425
"252" 490251 0.0211682 0.0284572 134139 106048 1.02433 -16.6202 -1369.805 -1386.425
"253" 490252 0.0211682 0.0284572 134139 106048 1.02433 -16.6202 -1369.805 -1386.425
"254" 490253 0.0211682 0.0281968 133494 106048 1.02433 -14.45807 -1372.693 -1387.152
"255" 490254 0.0211682 0.0281968 133524 106048 1.02424 -14.54835 -1372.32 -1386.868
"256" 490255 0.0212244 0.0281968 133524 105720 1.02424 -14.92418 -1372.446 -1387.37
"257" 490256 0.0212244 0.0284218 133524 105321 1.02424 -15.55399 -1370.58 -1386.134
"258" 490257 0.0212244 0.0284218 133074 105467 1.02409 -14.06255 -1370.842 -1384.905
"259" 490258 0.0212244 0.0284218 132798 105467 1.02409 -13.39634 -1371.799 -1385.195
"260" 490259 0.0212569 0.0286186 132798 105051 1.02409 -14.1572 -1369.793 -1383.95
"261" 490260 0.0210063 0.0287239 132798 105051 1.0241 -14.17522 -1368.376 -1382.551
"262" 490261 0.0210063 0.0287239 132798 104430 1.02452 -15.59859 -1366.351 -1381.949
"263" 490262 0.0210063 0.0288883 133015 104430 1.02482 -16.13689 -1368.22 -1384.357
"264" 490263 0.0210063 0.0288883 133015 104626 1.02482 -15.64704 -1371.085 -1386.732
"265" 490264 0.0210327 0.0287176 133250 104626 1.02461 -16.23978 -1366.082 -1382.322
"266" 490265 0.0210863 0.0287176 133250 104626 1.02472 -16.23874 -1366.764 -1383.003
"267" 490266 0.0210863 0.0287176 133250 104626 1.02472 -16.23874 -1366.764 -1383.003
"268" 490267 0.0210863 0.0288693 133461 104271 1.02476 -17.77277 -1364.774 -1382.546
