"iter"	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"r.1."	"decay.1."	"r.1.1."	"decay.1.1."	"r.1.2."	"decay.1.2."	"r.1.3."	"decay.1.3."	"r.1.4."	"decay.1.4."	"LnPrior"	"LnData"	"LnPosterior"
4995083	0.0218814	0.0159628	0.0138727	1.00372	130394	107043	9.9333	0.0300468	0.0247315	8.23191	0.148111	0.650916	0.294093	1.05995	0.125681	1.19901	0.102996	-13.87681	-12893.5	-12907.38
4995084	0.0225399	0.0159801	0.0139304	1.00374	130515	107043	9.93951	0.313572	0.109674	9.62119	0.148111	0.650916	0.294093	1.05995	0.125681	1.17948	0.102514	-14.75751	-12891.14	-12905.9
4995085	0.0225399	0.0159801	0.0140239	1.00374	130465	107043	9.93951	0.925574	0.109674	9.62119	0.14806	0.650916	0.294093	1.06436	0.126068	1.17948	0.102514	-14.70273	-12891.05	-12905.75
4995086	0.023015	0.0159801	0.0140239	1.00374	130465	107043	9.93951	0.83976	0.109674	9.62119	0.14806	0.650916	0.294093	1.09158	0.12501	1.17948	0.102514	-14.72281	-12887.4	-12902.12
4995087	0.0218491	0.0159801	0.0140239	1.00354	130397	106981	9.93951	0.83976	0.109674	10.1206	0.14806	0.650916	0.293758	1.09158	0.125047	1.18213	0.102664	-15.25343	-12888.6	-12903.86
4995088	0.0226323	0.0160719	0.0140239	1.00338	130397	107076	9.96503	5.52075	0.109674	10.1206	0.14806	0.650916	0.293758	1.0956	0.125047	1.18213	0.102664	-16.70618	-12886.93	-12903.64
4995089	0.0226323	0.0160527	0.0140239	1.00333	130397	107135	9.96503	5.52075	0.109674	10.5386	0.148954	0.650916	0.293758	1.09832	0.125026	1.18213	0.102664	-17.21325	-12885.21	-12902.42
4995090	0.0227546	0.0161475	0.0140239	1.00333	130397	107135	9.96503	0.673182	0.109674	10.5386	0.148954	0.650916	0.293758	1.09832	0.125026	1.16011	0.102664	-15.47251	-12886.23	-12901.7
4995091	0.0227546	0.0161475	0.0140239	1.00333	130397	107135	9.96503	1.04324	0.109674	10.5386	0.148954	0.647236	0.293758	1.09832	0.125393	1.16011	0.102664	-15.34394	-12886.32	-12901.67
4995092	0.0227546	0.0161487	0.0140239	1.00321	130397	107160	9.96503	0.832503	0.109674	10.6056	0.148954	0.647236	0.293758	1.09832	0.125604	1.16011	0.102664	-15.41845	-12886.39	-12901.81
4995093	0.0226931	0.0161487	0.0140239	1.00321	130453	107160	9.96503	1.00054	0.178876	9.14267	0.148954	0.647236	0.293758	1.10647	0.124792	1.1801	0.102379	-13.66578	-12887.34	-12901
4995094	0.0226931	0.0161487	0.0140101	1.00321	130402	107160	9.96503	1.00054	0.178876	7.84986	0.148954	0.647236	0.293758	1.10647	0.124792	1.1801	0.102379	-13.03314	-12888.04	-12901.07
4995095	0.0226931	0.0161487	0.0140101	1.00321	130518	107160	9.96503	3.28308	0.12681	10.2985	0.148686	0.65502	0.294225	1.09461	0.125	1.1801	0.102615	-14.49224	-12887.32	-12901.81
4995096	0.0217719	0.0162057	0.0140101	1.00321	130518	107176	9.96503	3.28308	0.106842	10.692	0.148487	0.65502	0.294225	1.1078	0.125	1.1801	0.102879	-14.9611	-12889.16	-12904.12
4995097	0.0217719	0.0162057	0.0140101	1.00325	130419	107051	9.96503	3.28308	0.0125778	10.692	0.148487	0.65502	0.294796	1.12617	0.125087	1.19962	0.102788	-14.20614	-12892.16	-12906.36
4995098	0.0240185	0.0162933	0.0141117	1.00325	130519	107047	9.96503	1.31786	0.0125778	9.48919	0.148487	0.65502	0.294796	1.09296	0.125087	1.20052	0.102341	-12.48064	-12889.16	-12901.65
