"iter" "CDDO,r2,32hR" "CDDO,d2,32hR" "ETA,r2,32hR" "ETA,d2,32hR" "Andr,r2,32hR" "Andr,d2,32hR" "Sul,r2,32hR" "Sul,d2,32hR" "CDDO,r2,48hR" "CDDO,d2,48hR" "ETA,r2,48hR" "ETA,d2,48hR" "Andr,r2,48hR" "Andr,d2,48hR" "Sul,r2,48hR" "Sul,d2,48hR" "kp" "kd" "Kmm" "nu" "Vm2" "Kmu" "nm" "rall" "decayall" "Sul,r1" "Sul,d2" "Andr,r1" "Andr,d2" "ETA,r1" "ETA,d2" "CDDO,r1" "CDDO,d2" "LnPrior" "LnData" "LnPosterior"
"45" 20044 0.79646 0.0754506 2.72833 0.102593 4.30924 0.204945 0.00496071 0.0729359 0.819319 0.0717592 0.030091 0.0862536 1.58625 0.124321 0.53547 0.125524 0.0235352 0.01601 0.0142012 1.00361 130522 107120 9.93699 2.52724 0.592982 9.43242 0.148324 0.621015 0.289929 1.12126 0.123467 1.16885 0.102026 -16.50935 -12893.78 -12910.29
"46" 20045 1.14243 0.0754506 2.75164 0.102593 3.23007 0.205694 0.00279863 0.0729359 0.765769 0.0717592 0.030091 0.0862536 1.3252 0.124321 0.542867 0.125524 0.0235352 0.0161282 0.0142012 1.00361 130522 107120 9.93699 1.32207 0.592982 10.5687 0.148324 0.621015 0.289929 1.08303 0.123467 1.16885 0.102026 -17.52245 -12893.8 -12911.33
"47" 20046 0.954609 0.0751571 2.75164 0.101952 1.519 0.205694 0.00409072 0.0729359 0.458141 0.0717592 0.030091 0.0862536 1.3252 0.124429 0.425686 0.125524 0.0235352 0.0161293 0.0142012 1.00354 130522 107120 9.93699 1.15337 0.592982 9.26358 0.148154 0.621015 0.289929 1.08536 0.123467 1.1747 0.102026 -16.03568 -12892.59 -12908.63
"48" 20047 1.29265 0.0771957 2.75164 0.101952 1.519 0.205847 0.00409072 0.0729359 0.458141 0.0717592 0.030091 0.0862536 1.3252 0.124401 0.727492 0.125524 0.0235352 0.0161293 0.0142012 1.00356 130572 107120 9.93699 0.44472 0.592982 9.26358 0.148165 0.64418 0.289929 1.08536 0.123467 1.1747 0.102026 -16.43734 -12893.04 -12909.48
"49" 20048 3.09612 0.0771957 3.68804 0.101952 1.519 0.205554 0.00272027 0.0729359 1.18277 0.0717592 0.030091 0.0862536 1.89288 0.124869 1.25135 0.125346 0.0235352 0.0161293 0.0142012 1.00356 130572 107120 9.94233 2.33068 0.0439114 9.26358 0.14769 0.635806 0.289929 1.06235 0.124622 1.16967 0.102212 -13.94987 -12890.71 -12904.66
"50" 20049 2.96801 0.0771957 4.12223 0.101952 1.73201 0.205257 0.00272027 0.0729359 2.21541 0.0715365 0.030091 0.0862536 1.55805 0.124869 1.25135 0.125346 0.0235352 0.0161823 0.0141248 1.00356 130572 107120 9.97618 1.87761 0.0439114 8.02587 0.14769 0.631003 0.289929 1.12181 0.124622 1.16967 0.102483 -12.97353 -12890.67 -12903.65
"51" 20050 3.20616 0.0765952 1.36343 0.101952 1.73201 0.205257 0.00272027 0.0729359 3.95282 0.0715365 0.030091 0.0862536 1.28568 0.124869 1.92244 0.125346 0.0235352 0.0161823 0.0141248 1.00344 130572 107120 9.97618 0.247038 0.0439114 8.02587 0.14769 0.631003 0.291066 1.06095 0.124622 1.18642 0.102483 -12.58695 -12890.51 -12903.09
"52" 20051 2.13284 0.0765952 1.98696 0.101952 1.09205 0.205257 0.00272027 0.0729359 3.22628 0.0715365 0.030091 0.0862536 1.28568 0.124869 2.73052 0.125346 0.0235352 0.0162033 0.0141248 1.00344 130572 107120 9.97618 0.702929 0.0439114 8.35405 0.14769 0.634662 0.291066 1.0981 0.124622 1.18642 0.102658 -12.78878 -12888.41 -12901.2
"53" 20052 1.09944 0.0765952 0.494445 0.101952 1.89306 0.205257 0.00425528 0.0729359 3.22628 0.0715365 0.030091 0.0862536 0.594485 0.124869 2.94354 0.125346 0.0235352 0.0162033 0.0141248 1.00344 130572 107120 9.97618 0.702929 0.0439114 8.35405 0.147585 0.634662 0.291066 1.0981 0.124622 1.18642 0.102329 -12.78872 -12888.1 -12900.89
"54" 20053 2.9927 0.0754634 0.974474 0.100869 2.69719 0.205556 0.00383735 0.0729041 2.13434 0.0715365 0.030091 0.0854806 0.594485 0.124582 3.9989 0.125812 0.0235352 0.0162033 0.0141248 1.00344 130572 107120 9.97618 0.702929 0.474877 8.9902 0.148601 0.634662 0.292562 1.10679 0.124622 1.18642 0.102329 -15.11392 -12887.81 -12902.92
